;S1(S2);S1(S3);S1(S4);;S2(S3);S2(S4);S2(S5);;S3(S4);S3(S5);S3(S6);;
Zysk na zbiorze treningowym;2484.93;2484.93;2484.93;;3776.335;3776.335;3776.335;;6572.32;6572.32;6572.32;;4277.861667
Zysk na zbiorze testowym (bez prowizji);-87.905;3371.06;-454.085;;2039.79;-1407.73;184.115;;-1855.67;1842.96;912.025;;504.9511111
Zysk na zbiorze testowym;-431.305;3045.96;-618.085;;1689.38;-1781.13;-23.885;;-2140.97;1463.26;621.425;;202.7388889
Ochylenie standardowe zysku na zbiorze testowym;682.457;3259.29;2512.06;;4284.6;1502.99;1739.49;;2002.42;1415.36;1556.02;;2106.076333
Liczba zyskownych transakcji;9.67;10.35;3.58;;11.345;7.56;5.01;;7.05;10.775;7.425;;8.085
Liczba stratnych transakcji;1500;1181;924;;1235;2222;1078;;1443;1642;1421;;1405.111111
Liczba wszystkich transakcji;17.17;16.255;8.2;;17.52;18.67;10.4;;14.265;18.985;14.53;;15.11055556
Odchylenie standardowe z liczby transakcji;22.5848;19.2471;6.18708;;24.9393;17.7809;9.48051;;19.0469;16.7351;9.19125;;16.13254889
Minimalny zysk;-2937;-4251;-4049;;-6263;-4696;-2720;;-4958;-2610;-2794;;-3919.777778
Pierwszy kwartyl zysku;-501;3439;-2719;;-3129;-3290;-2201;;-3436;94;-639;;-1375.777778
Mediana zysku;-306;3797.5;-1141;;4211;-1218;41;;-3436;1900.5;1295;;571.5555556
Trzeci kwartyl zysku;-95.5;5175;1625;;4211;-871;1648;;-1066.5;2661.5;1763;;1672.277778
Maksymalny zysk;1638;6496;3396;;6311;1517;3517;;2762;3536;3161;;3592.666667
